Feature_ID	Taxon	Confidence
390563f6766a9e999023b6222ff8b2c3	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9997504902391051
6fefa179bc98427fbc0592d78c2f4b0f	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.999857740761115
13bf76ab93d09d774b36057a14c40176	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9997649582528821
8d16d1b2e1609bcd6fa9e357b5cf6be1	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__[Ruminococcus]	0.710632372190568
9f0fcce16d960a274a0802c6095eab48	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.915228725070538
1b8566424a9fdbfdabc73949a17b2d1d	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0.9929323276209084
94a03d68dd915bcb10f70307bec81100	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9993920840882775
2bc8d1767d0591281e8a9ead9c39b96b	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Desulfovibrio; s__C21_c20	0.9999977358168675
78bb0af1d56612628f0a552bbe4a1752	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__[Paraprevotellaceae]; g__[Prevotella]; s__	0.9869085253763498
107df23945982ec95b957824abf49c87	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999969349629018
20b75a66944f5d06fc83348f65e667ee	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9997684544602639
686301a43e861a82f73ce203418c7b1c	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9258880707100773
70859d0550a666edea88cbf81f6cdc19	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Ruminococcus; s__	0.9145625123434341
0c1bd044a319d3895dcd51395d387d35	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9993307395460167
87b9a9c5f39d425d011fdf03f7f3b018	k__Bacteria; p__Proteobacteria; c__Deltaproteobacteria; o__Desulfovibrionales; f__Desulfovibrionaceae; g__; s__	0.9996248103981036
1d3b34c9718394113b5746441ace9eb2	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0.7520804771900295
2fe2a9a34c9692f4f1f10e3850ac96cf	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Oceanospirillales; f__Halomonadaceae; g__Halomonas; s__phoceae	0.8161392069156583
543300fe1f9fa085f310da9f617372b4	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.999980460663509
3cefca6aaad8fe2bd0b8ddcc5aa76b01	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales	0.9999935172506683
ca919e68cd00b5117190a4d620f4ad5d	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae	0.8361097257562956
1ff7dc8719cacf7dc4122b2d35a90464	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999966512502647
72c419d82c169e5649e4670061bcb50a	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9998867821880272
6e33efdc60ab7b16dbb00435557a5cc4	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0.9987107807946589
c4716ffd1c71ae418f63d5c4c53a01be	k__Bacteria; p__Deferribacteres; c__Deferribacteres; o__Deferribacterales; f__Deferribacteraceae; g__Mucispirillum; s__schaedleri	0.999999883415661
5a855d47a7b94ed1b578bf342322125f	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9321357151010039
dcbb8098cb58373f7490b8e78d4f8469	k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Alteromonadales; f__Shewanellaceae; g__Shewanella; s__algae	0.9980513132936536
d0ac0f8744fd51aaa70bd641a5d83b79	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__; g__; s__	0.9867159504517151
a2d0831c9c20d9d8e2c605c5eb22465b	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0.9999828614188695
df4b83f6587ebd799c96119964d7b746	k__Bacteria; p__Firmicutes; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae; g__Lactobacillus; s__	0.9997622858614654
