Eigvals	33
0.43043421776313195	0.08368283163133693	0.023919092593330908	0.018753458394164466	0.014449595061049593	0.012170476458223506	0.010355787886723035	0.00841736768374172	0.007795624684107135	0.007246931521667102	0.0052235293896483875	0.004998023895396027	0.004554520333989396	0.0037068712355133662	0.0034673691631323268	0.0026864987196755247	0.0021733490739230202	0.0018571630707502965	0.0016142436406186133	0.0011107507509430063	0.001043979335373266	0.0007215080193540644	0.0005465421911171123	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Proportion explained	33
0.6612606496127057	0.12855893263676363	0.03674604400321263	0.02881026546786825	0.022198394603396256	0.018697066443006987	0.015909225481219178	0.01293130005208614	0.011976138582890945	0.011133200958371486	0.008024720839853752	0.007678284837633756	0.006996946224162547	0.005694733318286331	0.00532679487512699	0.004127171621690018	0.0033388382269561403	0.0028530930114781788	0.0024799046041828706	0.0017064065374341735	0.0016038280067015077	0.0011084268905438093	0.000839633164428706	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0

Species	0	0

Site	33	33
CG01-1	-0.10412954757119941	0.011801321489455712	0.043558019269016764	-0.03836330942718198	0.018555405714095606	-0.006214293592998706	-0.004388481446355662	0.048252437196522655	0.003400390459231375	-0.010084556339241199	-0.004622829053833082	0.00975608400126752	0.02383327158683765	0.00828948181241388	-0.01987697978327715	-0.003966467806180243	-0.0019455318501808356	-0.0020276725668957295	0.0015665457701096995	-0.004115754492074047	0.005271837594193333	0.002041579775825967	0.002041458294305815	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG02-2	-0.1811894758095613	0.005066282685396317	0.00027568136410004016	0.0018032114817700072	-0.03875211472972908	0.021424079211050735	-0.012366294570271602	-0.0009732468318432604	-0.02478236872625974	-0.00439224062106243	-0.007559432854352209	0.0034242525813446972	-0.0011164173979793565	-0.01361006223993641	-0.013792900612037745	-0.012322189056237626	0.0048829732844126944	0.011295509677929874	0.0007097010739917671	-0.006306702776740906	-0.0016692292876324488	-0.0030846971762626195	-0.004615999289709087	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG03-3	-0.22494853796974768	-0.009904000365055237	-0.015506720733071161	0.01865317579558573	-0.04178456487524697	5.091303344994013e-05	-0.019968961722921164	0.0038692490085976516	-0.016436283052465417	0.036040825123951944	0.009536921942217995	0.008903838976075112	0.00031307526058360873	0.013716004191010692	0.0015148855162693334	-0.0015028715326694715	-0.006964030927091135	-0.01188707881959587	-0.000576570477468539	0.01155351369646391	0.004372184747133623	-0.0016193238607495769	0.003510738356151987	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG04-4	-0.13270836641217784	-0.007408572886571887	0.008315097877747231	0.00015298549230586452	0.009903792358714438	-0.022280243968790032	-0.007662652507485063	0.009607456460702974	0.01486234912236899	0.00967190961300896	-0.02587103943280655	-0.02261372208696315	0.009922800173758257	-0.0018256855239392055	0.009425728172747542	0.0007845175333458695	-0.008514398651954646	0.011413432143434087	-0.0013344195207929557	0.009757690981632589	-0.0073837926798574986	0.0019896629386021835	0.0024900177898861805	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG05-5	-0.1850336421159888	-0.009656970731176577	-0.00597988843795208	0.006906461876578441	-0.018991325972471135	-0.0029244404041340274	0.00690176730298611	-0.019515009096434978	0.013295198147816663	-0.022695435612616364	0.011207405357240477	-0.009249950264295589	0.010761931793039848	-0.005364460369181534	0.014647761113387281	-0.023527819789092328	0.003089455319440116	-0.005488953186660981	0.004412591278549474	-0.007181955513210045	-0.0045123596807403665	0.003910937682408317	-0.00020838749179850473	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG06-6	-0.15776684653020687	-0.005261063289775445	-0.0017704276912646907	0.008915340209227348	0.01049520103414241	-0.02764181182510356	0.002381894573761148	-0.0016989157717693024	0.031309936296337604	0.0046848201795103486	0.0011773726003725532	-0.023211324266753233	-0.02998365540088008	-0.0004749906065313906	-0.013067489937133523	0.005217435449340903	0.003483721127055218	-0.00286433334902075	0.009027640820948918	-0.005825250671099021	0.0030608712249922208	-0.00514386781446624	-0.0015923609811196646	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG07-7	0.007878045524353562	0.032738998018248255	0.0005320995382914098	-0.027484403339699377	-0.017085267881977464	0.02127586808027839	0.04497638146941499	0.014038563115747403	0.005219156695665528	-0.003145731752180224	-0.018750808834469807	-0.005427657920097061	-0.0053622057375200165	0.01519879012417333	0.00692545956587253	-0.0027305415827171145	0.0013497359977761322	-0.002305675674629551	-0.0098323184239185	0.003986855033039167	0.007700448297831781	-0.0034282612812015435	-0.006232698358524809	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG08-8	0.01898810530401079	0.030145849205431494	-0.010666136963485364	-0.005037267587994385	-0.018531364533003435	0.038867272202286474	0.023613323227942275	-0.007640508427537463	0.009346686290073323	0.0007343078865979093	-0.001783648181380615	-0.010011038300771373	0.000347219932497651	-0.0058886133224195164	-0.02863885355267337	0.006310754623197536	0.0008216760906566157	-0.0059609721386022435	-0.003233391353519208	-0.0016478421446256524	-0.0033704336130093407	6.754094183083266e-05	0.006035324854790697	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG09-9	-0.06915977828378592	0.024589470862499244	0.05028308456968698	-0.005131394674209628	0.0028428779437555825	-0.019494566686334286	-0.0005259582805928937	-0.006518662611637977	-0.0015899392380996765	0.021102938588141176	0.008258706258394057	0.013391311850379528	-0.005255562898352682	0.014091126913391792	0.013571655501464627	-0.0021617137287336364	0.01663346469196174	-0.0033300792122057526	-0.002025149186970678	-0.005999004486379331	0.00018989571530842242	-0.0010175652839068477	-0.0004674021046354394	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CG10-10	0.028851839421949126	-0.06579320137525417	-0.020600818376460422	-0.013225204555366507	0.006161880451278598	-0.029303091112662348	-0.0008052665951129111	0.02405520425840475	-0.0157068973848102	-0.0227355000294471	0.006241788642810318	-0.01640764969586398	0.007407814253488811	-0.007292491408874048	0.004363219573315949	-0.0012338978667719518	0.007474925818886776	-0.004180418614449822	0.003924094805706279	0.006124412956760965	-0.004293226361583893	-0.005615269324932399	-0.001803963320621547	-0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
